time,symbol,open,high,low,close,volume,timestamp
2025-12-28 17:05:00+05:30,BTCUSD,87847.0,87847.0,87793.0,87793.0,14685,2025-12-28 17:05:00+05:30
2025-12-28 17:10:00+05:30,BTCUSD,87793.0,87804.5,87780.0,87804.5,13504,2025-12-28 17:10:00+05:30
2025-12-28 17:15:00+05:30,BTCUSD,87804.5,87855.5,87803.5,87848.5,7609,2025-12-28 17:15:00+05:30
2025-12-28 17:20:00+05:30,BTCUSD,87847.5,87852.0,87814.5,87827.0,3531,2025-12-28 17:20:00+05:30
2025-12-28 17:25:00+05:30,BTCUSD,87835.5,87860.0,87828.5,87859.0,4603,2025-12-28 17:25:00+05:30
2025-12-28 17:30:00+05:30,BTCUSD,87863.5,87873.5,87826.5,87833.0,4819,2025-12-28 17:30:00+05:30
2025-12-28 17:35:00+05:30,BTCUSD,87833.0,87839.0,87808.5,87808.5,5638,2025-12-28 17:35:00+05:30
2025-12-28 17:40:00+05:30,BTCUSD,87808.5,87819.0,87790.5,87818.0,5392,2025-12-28 17:40:00+05:30
2025-12-28 17:45:00+05:30,BTCUSD,87816.0,87817.0,87791.5,87800.0,5741,2025-12-28 17:45:00+05:30
2025-12-28 17:50:00+05:30,BTCUSD,87801.0,87834.5,87795.0,87826.0,6193,2025-12-28 17:50:00+05:30
2025-12-28 17:55:00+05:30,BTCUSD,87826.0,87828.5,87825.0,87826.0,1398,2025-12-28 17:55:00+05:30
2025-12-28 18:00:00+05:30,BTCUSD,87826.0,87842.5,87826.0,87842.5,3739,2025-12-28 18:00:00+05:30
2025-12-28 18:05:00+05:30,BTCUSD,87842.5,87842.5,87795.0,87795.0,7846,2025-12-28 18:05:00+05:30
2025-12-28 18:10:00+05:30,BTCUSD,87796.0,87814.0,87774.5,87787.5,9063,2025-12-28 18:10:00+05:30
2025-12-28 18:15:00+05:30,BTCUSD,87787.5,87813.0,87787.5,87803.0,4379,2025-12-28 18:15:00+05:30
2025-12-28 18:20:00+05:30,BTCUSD,87803.0,87814.0,87802.0,87813.0,2128,2025-12-28 18:20:00+05:30
2025-12-28 18:25:00+05:30,BTCUSD,87814.0,87868.5,87802.5,87828.5,6103,2025-12-28 18:25:00+05:30
2025-12-28 18:30:00+05:30,BTCUSD,87829.5,87885.0,87828.5,87878.0,12901,2025-12-28 18:30:00+05:30
